Permittivity ,Lambda,Theta,R,T,Rs,Ts,,
1,0.00000059,5,0.00269808,0.99730192,0.00273809,0.99726191,,
1,0.00000059,5,0.01502487,0.98497513,0.01534508,0.98465492,,
1,0.0000006,5,0.04554023,0.95445977,0.04651567,0.95348433,,
1,0.0000006,5,0.08161371,0.91838629,0.08330519,0.91669481,,
1,0.00000061,5,0.11178533,0.88821467,0.1140276,0.8859724,,
1,0.00000061,5,0.12899321,0.87100679,0.13152873,0.86847127,,
1,0.00000062,5,0.1304453,0.8695547,0.1330017,0.8669983,,
1,0.00000062,5,0.11670634,0.88329366,0.1190248,0.8809752,,
1,0.00000063,5,0.09091407,0.90908593,0.09276637,0.90723363,,
1,0.00000063,5,0.05888113,0.94111887,0.0601143,0.9398857,,
1,0.00000064,5,0.02829613,0.97170387,0.02889709,0.97110291,,
1,0.00000064,5,0.00731853,0.99268147,0.0074654,0.9925346,,
1,0.00000065,5,0.00152635,0.99847365,0.00155194,0.99844806,,
1,0.00000065,5,0.0117284,0.9882716,0.01199356,0.98800644,,
1,0.00000066,5,0.03386471,0.96613529,0.03461942,0.96538058,,
1,0.00000066,5,0.06123811,0.93876189,0.06256152,0.93743848,,
1,0.00000067,5,0.08727676,0.91272324,0.08910575,0.91089425,,
1,0.00000067,5,0.1070753,0.8929247,0.10926518,0.89073482,,
1,0.00000068,5,0.11781409,0.88218591,0.12018947,0.87981053,,
1,0.00000068,5,0.11847263,0.88152737,0.1208546,0.8791454,,
1,0.00000069,5,0.1094127,0.8905873,0.11163042,0.88836958,,
1,0.00000069,5,0.09225259,0.90774741,0.09415362,0.90584638,,
1,0.0000007,5,0.0696183,0.9303817,0.07108339,0.92891661,,
1,0.0000007,5,0.04517121,0.95482879,0.04614089,0.95385911,,
1,0.00000071,5,0.02302717,0.97697283,0.02352673,0.97647327,,
1,0.00000071,5,0.00717679,0.99282321,0.00732925,0.99267075,,
1,0.00000072,5,0.00038432,0.99961568,0.00038974,0.99961026,,
1,0.00000072,5,0.00352524,0.99647476,0.00361113,0.99638887,,
1,0.00000073,5,0.01539163,0.98460837,0.01575299,0.98424701,,
1,0.00000073,5,0.03321846,0.96678154,0.03397565,0.96602435,,
1,0.00000074,5,0.053625,0.946375,0.05481402,0.94518598,,
1,0.00000074,5,0.07336516,0.92663484,0.07495141,0.92504859,,
1,0.00000075,5,0.08990016,0.91009984,0.09180369,0.90819631,,
1,0.00000075,5,0.1014909,0.8985091,0.10360789,0.89639211,,
1,0.00000045,10,0.03854802,0.96145198,0.04219327,0.95780673,,
1,0.00000046,10,0.00187449,0.99812551,0.00206967,0.99793033,,
1,0.00000046,10,0.01612284,0.98387716,0.01757276,0.98242724,,
1,0.00000047,10,0.06630495,0.93369505,0.07211497,0.92788503,,
1,0.00000047,10,0.1078802,0.8921198,0.11695657,0.88304343,,
1,0.00000048,10,0.11352078,0.88647922,0.1230554,0.8769446,,
1,0.00000048,10,0.08180471,0.91819529,0.08897524,0.91102476,,
1,0.00000049,10,0.03303777,0.96696223,0.03611405,0.96388595,,
1,0.00000049,10,0.00255289,0.99744711,0.00276506,0.99723494,,
1,0.0000005,10,0.01504244,0.98495756,0.01634834,0.98365166,,
1,0.0000005,10,0.05984231,0.94015769,0.06503735,0.93496265,,
1,0.00000051,10,0.10542244,0.89457756,0.11419231,0.88580769,,
1,0.00000051,10,0.1278695,0.8721305,0.13826524,0.86173476,,
1,0.00000052,10,0.11912257,0.88087743,0.12893125,0.87106875,,
1,0.00000052,10,0.08408827,0.91591173,0.09130625,0.90869375,,
1,0.00000053,10,0.03875037,0.96124963,0.0422242,0.9577758,,
1,0.00000053,10,0.00702375,0.99297625,0.00760759,0.99239241,,
1,0.00000054,10,0.00736004,0.99263996,0.00794842,0.99205158,,
1,0.00000054,10,0.03838149,0.96161851,0.04175584,0.95824416,,
1,0.00000055,10,0.08158833,0.91841167,0.08853292,0.91146708,,
1,0.00000055,10,0.11704448,0.88295552,0.12664057,0.87335943,,
1,0.00000056,10,0.13293956,0.86706044,0.14364438,0.85635562,,
1,0.00000056,10,0.12590369,0.87409631,0.13612658,0.86387342,,
1,0.00000056,10,0.09883228,0.90116772,0.10710388,0.89289612,,
1,0.00000057,10,0.06042334,0.93957666,0.0656728,0.9343272,,
1,0.00000058,10,0.02402472,0.97597528,0.02613781,0.97386219,,
1,0.00000058,10,0.00401856,0.99598144,0.00430241,0.99569759,,
1,0.00000059,10,0.00822102,0.99177898,0.00891951,0.99108049,,
1,0.00000059,10,0.03338537,0.96661463,0.03638636,0.96361364,,
1,0.0000006,10,0.06822117,0.93177883,0.07417964,0.92582036,,
1,0.0000006,10,0.10049572,0.89950428,0.10896396,0.89103604,,
1,0.00000061,10,0.12171911,0.87828089,0.13171501,0.86828499,,
1,0.00000061,10,0.12790948,0.87209052,0.13832245,0.86167755,,
1,0.00000062,10,0.11862089,0.88137911,0.12836846,0.87163154,,
1,0.00000062,10,0.09635398,0.90364602,0.10445886,0.89554114,,
1,0.00000063,10,0.06604716,0.93395284,0.07176685,0.92823315,,
1,0.00000063,10,0.03501275,0.96498725,0.03810807,0.96189193,,
1,0.00000064,10,0.01130815,0.98869185,0.01228347,0.98771653,,
1,0.00000064,10,0.00141974,0.99858026,0.00150432,0.99849568,,
1,0.00000065,10,0.00746791,0.99253209,0.00816698,0.99183302,,
1,0.00000065,10,0.02657955,0.97342045,0.02907038,0.97092962,,
1,0.00000066,10,0.05262562,0.94737438,0.05741019,0.94258981,,
1,0.00000066,10,0.07888019,0.92111981,0.08582073,0.91417927,,
1,0.00000067,10,0.10003168,0.89996832,0.10859599,0.89140401,,
1,0.00000067,10,0.11277565,0.88722435,0.12226348,0.87773652,,
1,0.00000068,10,0.11567842,0.88432158,0.12535572,0.87464428,,
1,0.00000068,10,0.10884487,0.89115513,0.11800502,0.88199498,,
1,0.00000069,10,0.09356623,0.90643377,0.10156374,0.89843626,,
1,0.00000069,10,0.07232527,0.92767473,0.07863924,0.92136076,,
1,0.0000007,10,0.04848924,0.95151076,0.0528137,0.9471863,,
1,0.0000007,10,0.02615001,0.97384999,0.02851406,0.97148594,,
1,0.00000071,10,0.00926344,0.99073656,0.01009095,0.98990905,,
1,0.00000071,10,0.00087081,0.99912919,0.00093319,0.99906681,,
1,0.00000072,10,0.00218296,0.99781704,0.0024077,0.9975923,,
1,0.00000072,10,0.01236428,0.98763572,0.01358698,0.98641302,,
1,0.00000073,10,0.02894483,0.97105517,0.03171795,0.96828205,,
1,0.00000073,10,0.04862274,0.95137726,0.05314732,0.94685268,,
1,0.00000074,10,0.0681744,0.9318256,0.07435066,0.92564934,,
1,0.00000074,10,0.08492875,0.91507125,0.09245108,0.90754892,,
1,0.00000075,10,0.09705503,0.90294497,0.10550996,0.89449004,,
1,0.00000075,10,0.10349519,0.89650481,0.11242654,0.88757346,,
1,0.00000045,15,0.00417993,0.99582007,0.00522571,0.99477429,,
1,0.00000046,15,0.01057453,0.98942547,0.01285659,0.98714341,,
1,0.00000046,15,0.05625023,0.94374977,0.06823747,0.93176253,,
1,0.00000047,15,0.09898963,0.90101037,0.11914966,0.88085034,,
1,0.00000047,15,0.10868304,0.89131696,0.13065869,0.86934131,,
1,0.00000048,15,0.08123084,0.91876916,0.09835394,0.90164606,,
1,0.00000048,15,0.03487431,0.96512569,0.04271847,0.95728153,,
1,0.00000049,15,0.00326986,0.99673014,0.00396598,0.99603402,,
1,0.00000049,15,0.01220234,0.98779766,0.01473475,0.98526525,,
1,0.0000005,15,0.05389293,0.94610707,0.0652107,0.9347893,,
1,0.0000005,15,0.09823351,0.90176649,0.11795761,0.88204239,,
1,0.00000051,15,0.12102065,0.87897935,0.14470897,0.85529103,,
1,0.00000051,15,0.11357374,0.88642626,0.1360792,0.8639208,,
1,0.00000052,15,0.08027636,0.91972364,0.09689622,0.90310378,,
1,0.00000052,15,0.03693799,0.96306201,0.04494733,0.95505267,,
1,0.00000053,15,0.00662809,0.99337191,0.00795182,0.99204818,,
1,0.00000053,15,0.00719593,0.99280407,0.00857848,0.99142152,,
1,0.00000054,15,0.03713726,0.96286274,0.04501643,0.95498357,,
1,0.00000054,15,0.07852506,0.92147494,0.0946181,0.9053819,,
1,0.00000055,15,0.11211048,0.88788952,0.13420608,0.86579392,,
1,0.00000055,15,0.12649951,0.87350049,0.15098912,0.84901088,,
1,0.00000056,15,0.11850092,0.88149908,0.14168156,0.85831844,,
1,0.00000056,15,0.09147139,0.90852861,0.10996549,0.89003451,,
1,0.00000056,15,0.05423533,0.94576467,0.06563863,0.93436137,,
1,0.00000057,15,0.02031483,0.97968517,0.02461351,0.97538649,,
1,0.00000058,15,0.00320733,0.99679267,0.00370941,0.99629059,,
1,0.00000058,15,0.00955905,0.99044095,0.0115547,0.9884453,,
1,0.00000059,15,0.03519959,0.96480041,0.04283508,0.95716492,,
1,0.00000059,15,0.06881412,0.93118588,0.08325707,0.91674293,,
